,TWEET,USER NAME,USER LOCATION
48,"RT @21WIRE: Another brave #NBA player @RealDealBeal23 here, schooling the clueless and divisive media on the facts regarding the experiment…",redpilled101,Definately not in Plato’s Cave
49,"""I am not coming here to take your spot,"" Thaddeus Young to Keldon Johnson

'I'm coming here to help' | Spurs' Thad… https://t.co/Tyih759o9r",JeffGSpursZone,San Antonio/New York City
50,"Experience #BYB's main, the #betting dApp made particularly for #NBA!
 
Scroll down to https://t.co/nqDUaEiSDu… https://t.co/5WBzcnXl5s",BetYourBallsVIP,
51,"Good...maybe they will wake up.  Doubt it but maybe.... #NBA
#CommonSense
NBA players who miss games because they a… https://t.co/FKhgU4TvF0",EricMitchell15,Ohio
52,#NBA players who miss games because they are not in compliance with local vaccine mandates will not be paid for tho… https://t.co/ftNXOPO3JQ,612sprtsprspctv,"Minneapolis, MN"
53,"how is this right ?? so a person dont want to put chemicals and  drugs inside his body, and yall keeping them away… https://t.co/N6vNg2BeIQ",_Winning_Picks_,"Las Vegas, NV"
54,"👉 $6.95 👈
Amscan 113604 New York Knicks NBA Collection Printed Latex Balloons Party Decoration @topfanscorner… https://t.co/jBU6NogrJ0",topfanscorner,
55,NBA: No pay if unvaccinated players can't play https://t.co/W4c7gPSclb And some of yall too broke to be missing a c… https://t.co/teTCk9Utmc,snowronin,"Ontario, CA"
56,"Is that why Lebron got vaccinated?
#NBA https://t.co/u6FD9crEAf",roberee,
57,"Andrew Wiggins said he is going to fight for what he believes, although he won’t say what he believes in and that “… https://t.co/AOMlHwTDwG",lakeshow73,Minneapolis Kansas City ATL
58,@hrtablaze NBA players get Respect for speaking on vaccines but not social injustice ? #NBA,JUICECITY26,"Greeley, CO"
59,RT @NYPost_Lewis: #NBA spokesman Mike Bass:  “Any player who elects not to comply with local vaccination mandates will not be paid for game…,HaleMark,
60,"RT @ShopRSApparel: OVO® x NBA @Raptors 🔥Available Now at https://t.co/vmcXkf7g90 

✅ Online exclusive
❌ Collection not sold in-store
❌ No c…",brian_game,"Oshawa, Ontario"
61,"“Time’s Up” OUT NOW🏰⏰

A track for the upcoming NBA season and also all my gamers! 

Featuring:
@_efojie 
@X_RAYZAE… https://t.co/QFWPoKN0h9",agdynastyatl,"Georgia, USA"
62,"OVO® x NBA @Raptors 🔥Available Now at https://t.co/vmcXkf7g90 

✅ Online exclusive
❌ Collection not sold in-store
❌… https://t.co/3amCjaF8rR",ShopRSApparel,Toronto
63,"RT @ScottyDrowned: Been seeing a lot of people put the #Sixers as a 5 or 6 seed in the EC…. 

3 things they’re not accounting for: 

- Embi…",Hands_Down_GOAT,Tyrese Maxey's house
64,NBA: No pay if unvaccinated players can't play - via @ESPN App.   #NBA.  https://t.co/ON2Qsa4Gsv,QueensIceZ,"Queens, New York"
