,TWEET,USER NAME,USER LOCATION
87,@Alebenasem #CastilloNoMeRepresenta,bejaranojuanjo,
88,"Los lapicitos recogiendo firmas a cambio de un paquete de fideos, allí estánnlos #dinamicosdelcentro y la gente de… https://t.co/DmeFZEYc2j",ferzevallos,Lima-Perú
89,"Peruanos en New York rechazan la presencia de @PedroCastilloTe.

#CastilloNoMeRepresenta #TerrorismoNuncaMás… https://t.co/l0fV5uInLk",QuitateSombrero,Perú
90,"@agildemeisterrh @congresoperu #VacanciaPresidencialYa #VacanciaPedroCastilloYa 
#CastilloVerguenzaInternacional 
#CastilloNoMeRepresenta",CarlosC99307349,"Lima, Peru"
91,"@jjoya10 @agildemeisterrh @congresoperu #VacanciaPresidencialYa #VacanciaPedroCastilloYa 
#CastilloNoMeRepresenta… https://t.co/XqYhpLlABl",CarlosC99307349,"Lima, Peru"
92,"#CastilloNoMeRepresenta
#CastilloVerguenzaInternacional 
#VacanciaPedroCastilloYa
#VacanciaASendero",lisarita1956,
93,RT @h_1789: @justicierope #CastilloVerguenzaInternacional a ver #cojudignos también #Keiko los  aleccionó? Es ABERRANTE todo lo que estamos…,delmardel,
94,@justicierope #CastilloVerguenzaInternacional a ver #cojudignos también #Keiko los  aleccionó? Es ABERRANTE todo lo… https://t.co/LqqagTo7xX,h_1789,
95,RT @PilarSantillanM: Castillo es un asno que está de presidente con fraude! Hay que expulsarlo ya! #CastilloNoMeRepresenta #CastilloPreside…,elcuervopoe1,
96,RT @S74rd3m0n: #CastilloNoMeRepresenta,CheCarolo,
97,#CastilloNoMeRepresenta https://t.co/4slF5QORut,S74rd3m0n,🇵🇪🇺🇲🇧🇷🇪🇦🇦🇷🇨🇱
98,"@DiegoAcuOficial Sin palabras, que triste.
#castillonomerepresenta",INGRID79477384,
99,"Por esta 💩 votaron, #Cojudignos...

#CastilloNoMeRepresenta 
#BellidoRenunciaYa https://t.co/1o4R4RNHzY",S74rd3m0n,🇵🇪🇺🇲🇧🇷🇪🇦🇦🇷🇨🇱
100,"Podrás ser todo lo antifujimorista que quieras, pero si aplaudes y te sientes orgulloso de este pedazo de 💩, merece… https://t.co/mCYO3QRXZo",S74rd3m0n,🇵🇪🇺🇲🇧🇷🇪🇦🇦🇷🇨🇱
101,"@PedroCastilloTe  es VERGÜENZA INTERNACIONAL .
Hoy se le cayó sus auriculares y micrófono q estaban debajo de su so… https://t.co/6MmUURgZQs",vicovirrey,"Lima, Peru"
102,#CastilloNoMeRepresenta la forma de hablar y de hilar un párrafo es digno de un mediocre y triste 🤡 de quinta categ… https://t.co/Wv2NwTsixW,pilarzal,
103,"@presidenciaperu @PedroCastilloTe Llegó el imitador de Cantinflas. Que tipo tan ignorante, no hila sus frases, dice… https://t.co/8qWNLUStJv",Kada08740781,
104,"RT @CarlosC99307349: @cesarcombina Éste asno comunista no tiene comprensión lectora. No entiende nada de nada.
#CastilloVerguenzaInternacio…",justigoicochea,
105,@cesarcombina Éste asno comunista no tiene comprensión lectora. No entiende nada de nada.… https://t.co/LueePKrirf,CarlosC99307349,"Lima, Peru"
106,@MQGrizel @canalN_ @Almagro_OEA2015 #castillonomerepresenta,jaime73277163,
107,@peruana_siempre @canalN_ #Castillonomerepresenta,jaime73277163,
108,"@AlcortaLourdes #CastilloNoEsMiPresidente
#CastilloVerguenzaInternacional 
#CastilloNoMeRepresenta https://t.co/v5QgUQq9w9",CarlosC99307349,"Lima, Peru"
109,@juliojuvenal3 @canalN_ #Castillonomerepresenta,isabelagalvez,
110,RT @juliojuvenal3: @canalN_ Quiere decir que los ciudadanos del Perú profundo son tan BURROS como Castillo... bueno allá ellos que votaron…,isabelagalvez,
111,@canalN_ Quiere decir que los ciudadanos del Perú profundo son tan BURROS como Castillo... bueno allá ellos que vot… https://t.co/sr4IaB0BMf,juliojuvenal3,
112,Castillo es un asno que está de presidente con fraude! Hay que expulsarlo ya! #CastilloNoMeRepresenta… https://t.co/NNFYPkDLEI,PilarSantillanM,Peru 
113,RT @luchootoya: No me preocupa q el señor Castillo se presente con sombrero o sin zapatos en los foros internacionales. Pero como peruano m…,Nataly66656998,
