,TWEET,USER NAME,USER LOCATION
53,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,TheFlyRoutePod,"Dallas, TX"
54,RT @Bens_head_space: #Kyrie #NBA #vaccine https://t.co/Ecmh5EbZ9a,jhloz,NorCal
55,#Kyrie #NBA #vaccine https://t.co/Ecmh5EbZ9a,Bens_head_space,"Downey, CA"
56,Can’t wait to watch Kyrie take on the woke media 😂😂! Good luck choosing a side losers!😂😭😭 #Kyrie https://t.co/Pq2NmpVx1R,dj_fortner,
57,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,FFRevamped,"Toronto, Ontario"
58,RT @MartynHale7: #sundayvibes #SundayMorning #Mattison #Lando #FootballSunday #Sarge #StatenIsland #ChrisMartin #Alito #Dybala #Orcas #Kyri…,realmartynhale,"Los Angeles, CA"
59,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,FranchiseTagUK,"London, England"
60,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,NFLProPicks,
61,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,Mustaine3651,"King of Prussia, PA"
62,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,FinSports2,
63,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,ThePointGodCast,𝐶𝐿𝐼𝐶𝐾 𝐻𝐸𝑅𝐸 ➡️
64,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,SteveSPORTTalk1,"philadelphia,pa"
65,@ClayTravis Kyrie does not want to take the vaccine because its poison and ineffective but will gladly accept a che… https://t.co/4VM9tMZ1j2,kiwibythebay,"St Petersburg, FL"
66,"この動画を気に入った方はリツイートとチャンネル登録お願いします！！
【NBA】カイリー・アービング天才のドライブ【スラッシャー】 https://t.co/wq72MFodTA YouTubeさんから
#NBA　#MLB　#NFL… https://t.co/Ox5vv8Eh6Q",USAMIX3,
67,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,DavidWEversole,South Florida
68,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,GambleOnGinter,
69,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,advisors_team,"Iowa, USA"
70,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,TFFPhilip,
71,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,TITTHJB,"Germantown, Md"
72,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,Beardaknowledge,"West Grove, PA"
73,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,FANTASYBROZ1,"New Orleans, LA"
74,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,RideTheTide586,"Michigan, USA"
75,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,AdamHulseSports,New Jersey
76,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,DynastyUnderdog,
77,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,TMSMpodcast,
78,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,The_FluffyTexan,"Houston, TX"
